公·央视频道,#genre#
CCTV-1 综合,http://207.56.13.146:81/cdnlive/cctv1.m3u8
CCTV-1 综合,http://222.140.13.12:1234/608807420
CCTV-1 综合,http://121.57.88.206:898/hls/1/index.m3u8
CCTV-1 综合,http://101.6.130.52:1234/608807420
CCTV-1 综合,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV-1 综合,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV-1 综合,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-1 综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8

CCTV-2 财经,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV-2 财经,http://222.140.13.12:1234/631780532
CCTV-2 财经,http://101.6.130.52:1234/631780532
CCTV-2 财经,http://121.57.88.206:898/hls/2/index.m3u8
CCTV-2 财经,http://173.208.212.130:8181/720p/cctv2.m3u8
CCTV-2 财经,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV-2 财经,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-2 财经,http://204.12.221.218:8181/3m1080p/cctv2.m3u8

CCTV-3 综艺,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV-3 综艺,http://222.140.13.12:1234/624878271
CCTV-3 综艺,http://101.6.130.52:1234/624878271
CCTV-3 综艺,http://121.57.88.206:898/hls/3/index.m3u8
CCTV-3 综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8
CCTV-3 综艺,http://173.208.212.130:8181/720p/cctv3.m3u8
CCTV-3 综艺,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
CCTV-3 综艺,http://192.151.150.154/live/cctv3hd.m3u8

CCTV-4 中文国际,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-4 中文国际,http://222.140.13.12:1234/631780421
CCTV-4 中文国际,http://121.57.88.206:898/hls/4/index.m3u8
CCTV-4 中文国际,http://101.6.130.52:1234/631780421
CCTV-4 中文国际,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
CCTV-4 中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV-4 中文国际,http://173.208.212.130:8181/720p/cctv4.m3u8
CCTV-4 中文国际,http://192.151.150.154/live/cctv4hd.m3u8

CCTV-4 中文国际 中文国际 K,http://www.520345.xyz:8188/rtp/239.69.1.111:10304?$3840x2160
CCTV-4 中文国际 中文国际 K,http://home.amucn.net:8800/udp/239.49.0.82:8000
CCTV-4 中文国际 中文国际 K,http://173.208.212.130:8181/720p/cctv4k.m3u8
CCTV-4 中文国际 中文国际 K,http://192.151.150.154/live/cctv4k.m3u8

CCTV-4 中文国际 中文国际 欧洲,http://222.140.13.12:1234/608807419
CCTV-4 中文国际 中文国际 欧洲,http://101.6.130.52:1234/608807419

CCTV-4 中文国际 中文国际 美洲,http://222.140.13.12:1234/608807416
CCTV-4 中文国际 中文国际 美洲,http://101.6.130.52:1234/608807416

CCTV-5 体育,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-5 体育,http://222.140.13.12:1234/641886683
CCTV-5 体育,http://101.6.130.52:1234/641886683
CCTV-5 体育,http://121.57.88.206:898/hls/5/index.m3u8
CCTV-5 体育,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV-5 体育,http://173.208.212.130:8181/720p/cctv5.m3u8
CCTV-5 体育,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV-5 体育,https://live.666666.zip/stream/25816724_sb2maw7iluj1ghr92sk5siud28tpimx0.m3u8

CCTV-5 体育 体育 +,http://207.56.13.146:81/cdnlive/cctv5p.m3u8
